PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
E0487	3	3	4	1
E2222	127	132	152	156
K0038	837	901	854	1004
K0043	300	303	328	342
E2622	4769	4933	4964	5271
E0574	1270	1148	1096	1030
E2221	187	165	218	162
K0051	73	57	51	50
E1233	87	96	112	125
E1060	0	0	0	2
K0831	13	13	22	23
K0837	54	43	48	39
A4606	436	460	471	461
E2225	139	155	204	169
A7008	71	66	54	55
E0575	7	4	2	4
K0850	19	19	11	22
E0198	0	0	0	2
E2397	4	2	12	16
E1405	0	5	1	0
E1237	4	0	3	12
E0580	13	13	12	13
A4575	23	22	30	45
L6388	0	0	0	0
L7186	0	0	0	0
E1017	2	0	0	0
E1150	4	4	3	4
K0840	0	1	1	2
L5714	0	0	0	0
E1190	0	0	0	0
E2230	0	0	0	0
L8680	0	1	0	0
K0812	0	0	1	0
E1070	0	0	0	0
E1285	0	0	0	0
L5724	0	2	1	0
L8619	0	2	0	0
L6588	0	0	0	1
E1231	0	1	0	0
E1290	0	0	0	0
E0570	0	0	0	0
E1810	0	0	0	0
L3810	0	0	0	0
L3140	0	0	0	2
L4020	0	0	1	2
L8691	0	0	0	0
L6714	0	0	2	0
A4349	24784	24462	24087	23377
A4326	2377	2511	2492	2396
A4310	15832	14365	14192	13374
L3807	12639	12774	12513	11363
A6233	24	50	52	29
E0676	3903	3912	4127	3501
A4590	3	6	0	0
A6238	229	193	196	177
A6549	3497	4310	4300	4919
L4386	7873	7835	8010	6843
E0464	1	0	0	0
A6538	3	4	4	4
A6244	4	15	8	16
L1970	7234	7666	7815	7689
B4103	88	82	84	67
B4157	273	278	277	280
L1960	4939	5404	5180	5320
L6704	16	25	26	12
L7007	30	29	25	37
L6025	0	0	1	0
A6256	1	5	7	2
L3480	413	432	433	379
E0650	650	504	521	551
Q4008	0	0	0	0
T4526	6	9	0	0
A7027	2410	2388	2231	2221
E0431	1111706	1105549	1084589	1049518
E0260	329016	327158	321436	309985
A4351	121214	122559	124897	123979
A7000	45244	45767	44974	43152
A7038	769347	823168	810809	867293
E0141	774	753	1955	3402
E0159	1443	1588	1737	1585
E2607	2849	3106	2980	3291
A7036	46221	48436	48128	50584
K0006	24233	24196	24787	24762
E0910	23399	23227	22348	21723
E2231	2040	2271	2422	2653
B4036	14106	13717	13277	13027
K0007	17029	16998	16938	16590
B4150	72510	67290	62439	61279
E2211	1812	1820	1838	1834
E2603	2704	2901	2870	2626
K0077	1543	1576	1514	1340
L1902	27174	30950	31267	28618
E0950	1135	1294	1213	1209
E2363	3216	3762	3108	3239
E0302	79	71	66	74
E1031	4964	4948	5060	4966
E1225	2129	2217	2371	2520
E0668	594	781	865	897
E0911	243	249	256	270
E1391	135	124	114	147
L3000	12141	14008	14060	14169
A4624	13023	12875	12517	12069
L5637	8693	9281	9475	9607
L3310	1156	1354	1354	1363
L5705	934	950	1012	1012
L5920	2424	2602	2544	2805
L5970	86	109	99	92
L0174	3496	3513	3620	3243
L7900	61	50	42	45
L0456	1582	1626	1659	1618
L1652	274	248	252	246
L3906	3736	3807	3646	3717
L3980	1214	1276	1187	1197
L2385	414	453	428	436
L2999	1176	1169	1128	1016
L3762	1234	1209	1092	1137
L5655	560	569	588	562
L6660	108	91	112	99
L8020	3534	5363	4821	5671
L8507	518	546	516	555
L3010	2390	2686	2498	2463
L2030	16	18	20	27
L2780	1235	1397	1256	1255
L0180	1891	1674	1892	2187
L2330	7047	8013	7857	8264
L2116	570	430	394	419
L3763	484	520	504	521
L3300	302	351	326	328
L3925	988	940	981	913
L2340	1250	1278	1265	1369
L5978	53	45	69	59
L6632	12	22	14	13
L6935	39	40	41	51
L1900	34	22	33	30
L9900	61	64	56	45
L2232	368	360	394	437
L2240	19	29	22	30
L3390	308	325	352	336
L5822	42	44	56	39
L3806	369	398	409	379
L7499	88	77	98	91
L3917	168	166	202	171
L6884	3	5	5	4
L7404	55	41	40	43
L0454	67	56	81	54
L0130	29	17	24	28
L3927	840	888	952	843
L2034	8	7	10	19
L5643	31	30	32	43
L3500	2	6	12	3
L8032	229	260	223	260
L3916	5718	10951	12122	15733
L0466	10	4	6	3
L3070	40	42	49	54
L6655	35	16	20	29
L5626	32	24	30	35
L2768	19	31	36	29
L5580	81	99	104	79
L0190	19	26	22	26
L1005	279	413	417	406
L6621	46	36	27	37
L0455	24	32	33	28
L6050	7	3	9	4
L6883	16	11	17	12
L5966	4	5	6	10
L8049	14	15	22	10
L5973	112	106	115	141
L8035	31	59	45	60
L5682	33	35	44	45
L0700	2	10	3	5
L3590	2	1	2	3
L2526	9	15	7	11
L5560	1	1	1	0
L6648	0	0	1	1
L6684	12	8	6	10
L5341	2	6	5	5
L6805	8	4	3	3
L6550	0	2	1	1
L6690	2	0	0	1
L3678	1	9	4	21
L2600	9	16	7	14
L0810	3	3	1	4
L5703	11	7	8	8
L6600	9	2	6	0
L3977	1	6	1	0
L1230	1	0	1	2
L8220	1	3	2	0
L3904	1	1	1	0
L8043	1	6	2	1
L6712	1	0	0	0
L6610	4	2	3	7
L6205	2	0	0	2
A4628	11974	11773	11565	11201
A7004	29824	27657	23548	23140
E0114	16353	17555	18386	16876
E0486	2871	3107	3294	3215
E0560	94	69	51	62
A7015	45331	41834	33493	34833
E0730	18161	18030	11601	9092
E1358	2	0	2	2
A4612	1	4	4	14
E0621	2048	1730	1728	1702
E2624	1851	2052	1904	2045
A6512	41	20	25	10
A7002	16064	15721	15565	15291
E0199	76	61	51	52
E0315	28	21	26	47
E1130	1	2	1	2
E2374	24637	23782	22287	14622
E0184	4467	4492	4223	4386
E0930	14	11	8	3
E1035	1091	1025	767	695
A4640	330	267	264	230
A7001	668	635	598	504
E1015	68	66	119	172
E0273	1	1	1	2
A4635	3	2	9	7
E0500	499	481	473	450
K0740	11	12	11	8
E1406	12	13	11	8
E1029	320	288	280	318
K0105	37	55	74	59
E2626	2	6	9	1
K0839	28	20	26	23
E1235	34	46	47	41
E8001	6	8	3	7
A4613	2	4	2	3
E0113	2	3	2	4
E2630	4	5	0	1
E0968	8	3	1	2
E2227	13	2	0	3
E0618	0	0	0	0
E2293	2	0	0	3
L6382	0	0	1	0
L6380	0	0	0	0
E2292	0	2	0	0
E1011	1	0	0	0
E1087	0	0	0	0
L6975	0	0	0	0
L3907	0	1	1	0
L5644	0	0	0	1
L6130	0	0	0	1
L6642	0	0	1	1
L8140	0	0	0	0
L3800	0	1	0	0
A4452	0	0	0	0
A7005	0	0	0	0
A4258	0	0	0	0
A4256	0	0	0	0
A6212	0	0	0	0
A6209	0	0	0	0
L3970	0	0	0	0
L8615	0	0	0	0
L1755	0	0	0	0
L3208	0	0	0	0
E0295	3323	3386	3926	4928
E2604	291	336	280	279
E0660	21	15	25	18
K0070	878	835	2801	2771
E0472	20	18	17	10
E0292	31	27	31	22
E2367	68	95	97	111
E0371	407	347	342	292
E0290	27	32	29	25
B4081	33	29	28	24
E2383	124	157	107	108
L5671	7626	8147	8114	8350
L3913	5406	5280	5134	5375
L3230	366	437	341	351
L5650	3109	3291	3246	3565
L5701	1259	1317	1291	1400
L5950	2530	2696	2673	2964
L5694	99	106	125	99
L8410	384	394	427	420
L1833	45715	44426	42128	48002
L5984	488	582	551	607
L5848	481	547	507	653
L1932	4427	4665	4728	4467
L5925	796	938	936	1006
L5971	27	25	25	29
L3931	351	481	418	469
L3334	255	292	233	229
L2220	2469	2731	2755	2615
L2275	8607	9274	9156	9365
L0982	13	11	19	5
L3265	954	1042	1109	954
L2210	3152	3346	3251	3283
L5696	32	28	43	31
L6675	73	69	94	87
L0972	171	183	196	250
L3675	550	440	411	475
L2020	175	198	204	224
L2800	141	114	140	173
L2200	1935	2189	2173	2147
L2108	34	20	22	31
L3766	70	88	64	62
L8002	175	227	231	259
L3702	536	509	548	538
L2005	93	96	93	104
L3610	183	211	173	178
L7368	145	185	162	168
L7400	122	103	128	132
L7403	121	108	128	141
L2106	30	17	16	25
L1945	357	344	367	362
L3620	276	363	340	332
L2624	212	216	254	236
L5698	83	73	87	99
L6698	44	49	40	40
L6630	24	28	31	34
L6672	28	28	21	35
L6682	57	48	54	56
L5976	142	150	154	155
L1200	8	6	11	7
L4090	19	23	26	21
L5824	3	4	3	0
L3671	127	129	102	107
L5510	3	3	8	8
L5702	20	15	12	17
L2380	15	25	23	31
L2136	11	16	11	8
L1120	11	8	14	5
L1847	2	10	6	5
L6055	2	1	4	5
L3520	8	10	16	5
L5331	17	15	21	25
L4130	9	6	3	4
L2650	12	8	16	5
L0467	8	9	6	2
L8039	18	30	14	20
L2300	0	1	3	2
L8510	10	9	14	4
L8040	12	17	21	17
L3640	0	2	2	0
L5520	3	6	3	0
L5982	20	12	18	13
L5280	0	0	0	0
L4080	13	10	13	8
L3003	26	58	42	55
L5640	5	11	8	4
L5150	1	0	2	1
L5230	7	4	3	4
