VAR1	COUNT	cq
PI0008RUC5:PI7UTF8DW4	5	6
PI0008RUC5:PI7V80UEU9	2	0
PI0008RUC5:PI7W45QT14	2	0
PI0008RUC5:PI8APW5M45	4	6
PI0008RUC5:PI8M4900Q1	4	6
PI0008RUC5:PI8NXCCG90	6	7
PI0008RUC5:PI8U0PV8E8	4	6
PI0008RUC5:PI927J3QR1	5	6
PI0008RUC5:PI929FTN88	3	4
PI0008RUC5:PI92CUC5X2	3	4
PI0008RUC5:PI98B88RG4	3	4
PI0008RUC5:PI9BJNCX51	2	0
PI0008RUC5:PI9CCH3QF5	4	6
PI0008RUC5:PI9D6MQH68	12	9
PI0008RUC5:PI9DP5AFK3	3	4
PI0008RUC5:PI9GQGQ751	4	6
PI0008RUC5:PI9H12JKT6	4	6
PI0008RUC5:PI9H16UAQ9	2	0
PI0008RUC5:PI9JPXXT67	2	0
PI0008RUC5:PI9PA99NR3	9	8
PI0008RUC5:PI9U3PP0B4	2	0
PI0008RUC5:PI9WCVK800	5	6
PI0008RUC5:PIA4RE8C13	3	4
PI0008RUC5:PIAATU98W0	2	0
PI0008RUC5:PIAF92BP05	2	0
PI0008RUC5:PIAMMHCE00	2	0
PI0008RUC5:PIANT26315	2	0
PI0008RUC5:PIANTWR109	2	0
PI0008RUC5:PIATEVMUF5	2	0
PI0008RUC5:PIAUH9FUN6	2	0
PI0008RUC5:PIAV3J8RC9	3	4
PI0008RUC5:PIAVNPK387	4	6
PI0008RUC5:PIAWRNUTC4	2	0
PI0008RUC5:PIB2193302	6	7
PI0008RUC5:PIB3MQCDH9	2	0
PI0008RUC5:PIB5C4C0A3	15	9
PI0008RUC5:PIB6N90AD5	2	0
PI0008RUC5:PIB7WD7X40	5	6
PI0008RUC5:PIBJJVFTJ6	2	0
PI0008RUC5:PIBUB3QDA5	2	0
PI0008RUC5:PIBVDJ8155	4	6
PI0008RUC5:PIBVQAQ1K1	11	8
PI0008RUC5:PIBXFRJ6C7	2	0
PI0008RUC5:PIC3A45GN9	5	6
PI0008RUC5:PIC56UH5E3	4	6
PI0008RUC5:PIC9U7B3D8	5	6
PI0008RUC5:PICAFW16V1	6	7
PI0008RUC5:PICHCV7X96	5	6
PI0008RUC5:PICKQFHRP6	2	0
PI0008RUC5:PICM9PW3J0	2	0
PI0008RUC5:PICN9TPV80	2	0
PI0008RUC5:PICNXQ0671	2	0
PI0008RUC5:PICRQW3N48	6	7
PI0008RUC5:PID210MGK4	2	0
PI0008RUC5:PID2HXMJ46	2	0
PI0008RUC5:PID5J84B59	6	7
PI0008RUC5:PIDKHNQAC0	8	8
PI0008RUC5:PIDPGXNE48	2	0
PI0008RUC5:PIDRPP3TF6	2	0
PI0008RUC5:PIDUCK2FP9	3	4
PI0008RUC5:PIE90AMM76	4	6
PI0008RUC5:PIEDFHA067	2	0
PI0008RUC5:PIEMCX31H2	8	8
PI0008RUC5:PIF4GGPUP1	2	0
PI0008RUC5:PIF6DP2K28	2	0
PI0008RUC5:PIF6WHC2H4	4	6
PI0008RUC5:PIFCPFEBT6	2	0
PI0008RUC5:PIFER8R707	2	0
PI0008RUC5:PIFGAF75U9	2	0
PI0008RUC5:PIFHG763Q7	8	8
PI0008RUC5:PIFN62V255	2	0
PI0008RUC5:PIFNBXD218	2	0
PI0008RUC5:PIFPMFCVQ4	2	0
PI0008RUC5:PIFUD9QDG3	2	0
PI0008RUC5:PIFUT0FVD2	2	0
PI0008RUC5:PIG165ADB0	2	0
PI0008RUC5:PIG2AJ3969	6	7
PI0008RUC5:PIG8FKJN59	3	4
PI0008RUC5:PIGBTRQGT3	2	0
PI0008RUC5:PIGEE4AXC4	4	6
PI0008RUC5:PIGFU7UVD0	2	0
PI0008RUC5:PIGJK8H3Q5	2	0
PI0008RUC5:PIGMWGWRX3	4	6
PI0008RUC5:PIGN8PTPC3	2	0
PI0008RUC5:PIGPEFGCC8	6	7
