HMS_POID	vec.discr.x	vec.discr.y
POUGDE61	3	3
POUHACW6	3	3
POUNART0	3	3
POUP0U69	1	1
POURH6E1	3	3
POUVWC05	1	NA
POUW9HU6	3	NA
POUXHUF7	3	3
POV000F2	2	2
POV0WBH6	1	1
POV2N6N3	3	1
POV2V160	3	3
POV5UT70	4	4
POV7UHC9	2	2
POVB1EF9	1	1
POVBFHH6	3	3
POVBHR53	2	1
POVCTAX6	3	3
POVFUWQ4	3	3
POVHR6P9	2	2
POVJ58P3	3	3
POVMNCM9	2	2
POVREUN0	1	1
POVRGVW1	3	3
POW1QTH6	3	3
POW35A67	1	NA
POW6XFR0	3	3
POW701N1	4	NA
POW7WM48	3	3
POW937K6	3	3
POW939A6	3	3
POWA40N7	3	3
POWAGQ90	1	1
POWBXXT8	4	3
POWE5075	2	2
POWE9NE8	3	1
POWH3D18	3	3
POWH8KE9	2	2
POWJEWT8	3	3
POWJR861	3	3
POWMBER9	1	1
POWNVBX1	3	NA
POWPU0E2	3	3
POWUN2D7	3	3
POWVEA78	1	NA
POX2NF51	3	3
POX5MK61	3	3
POX6H257	4	4
POX7E017	1	5
POXACEF6	1	NA
POXACRK4	3	2
POXBH804	4	1
POXBJVX4	3	3
POXE3U74	2	1
POXF5M92	1	NA
POXMB5D6	3	3
POXP4B23	3	3
POXPAJB0	2	2
POXQHP76	3	NA
POXQXKQ1	2	2
POXRCRN3	3	3
POXTQV74	3	3
POXV2NR9	3	2
POXX26J0	2	2
PO09WR94	NA	1
PO0DBAA7	NA	1
PO1ATBC5	NA	1
PO1BG152	NA	1
PO1DP1K0	NA	1
PO1VX7T6	NA	1
PO206JU3	NA	1
PO21X931	NA	1
PO2QQB39	NA	1
PO2V2FB2	NA	1
PO3EX487	NA	1
PO3NDVR7	NA	1
PO3QFCJ2	NA	1
PO40WBE1	NA	1
PO42CU48	NA	1
PO4C21X0	NA	1
PO4K2RB6	NA	1
PO5FBN89	NA	1
PO5GEX59	NA	1
PO5PXP55	NA	1
PO60C5H2	NA	1
PO614P73	NA	1
PO78D1B9	NA	1
PO8757V7	NA	1
PO87R4H6	NA	1
PO8HJM84	NA	1
PO8QB889	NA	1
PO9TC6Q4	NA	1
POAEAWP3	NA	1
POAGGQ16	NA	1
POB5WW78	NA	1
POB8BTD7	NA	1
POCH9UB2	NA	1
POCXFKG1	NA	1
POD3P160	NA	1
PODXK4B4	NA	1
POE0WCR2	NA	1
POG034U1	NA	1
POGTB9U4	NA	5
POH49JG9	NA	1
POHVDTB2	NA	1
POJ5CGT3	NA	1
POK6NWT5	NA	1
POMCNFR2	NA	1
POMEVJT7	NA	1
PON0UNC8	NA	1
PON2JE40	NA	1
PONC5582	NA	3
PONGDBG5	NA	1
PONJBHC8	NA	1
PONXA471	NA	1
POPD91U4	NA	1
POQ385E6	NA	1
POTC0DB1	NA	1
POTNEKA0	NA	1
POU1M794	NA	1
POUK50N3	NA	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
NA	1	1
