PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
E1060	4	2	9	2	0	2	1	5	2	0	3	5	7	1	0	2	1	7	1	0
E1070	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	1	1	1	1	0
E1084	0	0	0	1	0	3	1	1	1	1	0	0	2	1	0	1	1	1	1	0
E1089	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0
E1090	5	2	2	2	1	5	3	1	0	0	4	2	1	2	0	2	2	1	0	0
E1093	10	5	12	7	2	4	12	4	7	4	7	28	4	4	0	4	16	2	4	0
E1130	14	10	3	1	1	13	6	4	5	2	13	5	1	1	0	7	7	4	3	0
E1220	4	2	12	2	0	5	0	1	2	1	0	1	3	1	0	1	0	5	1	0
E1222	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	1	0
E1228	4	0	3	0	0	3	0	0	0	0	0	0	1	1	0	0	2	2	0	0
E1391	0	627	467	347	135	0	585	416	309	124	0	546	407	226	0	586	494	377	175	0
E2215	51	33	23	18	18	60	41	32	23	10	39	37	17	27	0	29	30	30	20	0
E2222	261	235	186	174	127	263	218	177	141	132	282	243	167	198	0	257	209	194	165	0
E2227	7	1	5	7	13	1	2	2	12	2	4	4	0	9	0	1	7	1	10	0
E2230	1	0	4	0	0	0	1	4	0	0	0	4	3	2	0	4	2	4	1	0
E2291	0	0	0	0	0	2	0	1	0	0	0	1	2	1	0	0	1	0	0	0
E2292	0	1	0	0	0	0	0	3	0	2	0	5	2	2	0	0	1	0	2	0
E2362	0	3	4	50	11	0	3	27	27	13	0	8	40	15	0	3	9	33	15	0
E2364	0	28	58	20	15	0	24	33	10	6	0	24	46	14	0	13	58	68	40	0
E2381	0	950	712	414	451	0	1082	1015	581	547	0	1246	1038	657	0	1191	1037	549	621	0
E2391	0	1315	925	672	680	0	1103	1132	806	754	0	1305	1237	1001	0	1462	1146	964	881	0
E2397	24	11	1	4	4	25	15	6	14	2	16	16	10	5	0	19	13	3	8	0
E2626	27	28	5	1	2	48	18	2	8	6	30	8	5	7	0	28	9	6	4	0
K0020	4042	2876	2079	257	96	3949	2545	1571	165	75	3887	2571	1113	124	0	3398	2440	472	115	0
K0037	82	46	55	36	47	79	56	54	53	48	87	54	48	60	0	74	66	39	72	0
K0044	253	217	176	151	166	252	208	193	207	142	235	223	179	233	0	220	174	210	185	0
K0046	80	49	33	39	28	89	49	36	45	35	70	49	28	48	0	68	32	64	63	0
K0050	15	10	6	5	2	3	16	8	1	0	11	9	4	3	0	4	8	9	1	0
K0065	195	84	34	31	25	191	136	38	45	36	126	42	52	67	0	122	44	61	38	0
K0071	118	116	125	106	125	155	115	94	153	120	135	110	142	165	0	121	118	158	169	0
K0073	14	14	16	13	11	13	5	7	7	9	16	8	18	33	0	14	6	9	21	0
K0734	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
K0812	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	1	0
K0813	0	106	45	19	11	0	88	42	18	9	0	70	25	17	0	130	45	28	10	0
K0814	0	1288	696	140	70	0	1127	544	111	60	0	1012	380	105	0	1383	867	203	81	0
K0826	0	183	158	161	126	0	156	162	155	117	0	144	154	166	0	234	144	158	155	0
K0830	19	6	1	10	3	13	10	1	6	1	8	6	6	5	0	4	6	8	3	0
K0831	160	78	20	33	13	124	60	23	28	13	128	40	28	29	0	99	32	32	25	0
K0838	19	6	3	4	11	16	9	8	6	13	15	5	4	15	0	15	7	4	19	0
K0840	2	0	1	0	0	1	0	0	0	1	3	0	1	2	0	0	1	2	1	0
K0850	57	43	34	24	19	64	52	23	27	19	67	40	31	27	0	52	25	17	28	0
K0853	42	18	14	10	2	41	26	18	11	5	28	15	29	8	0	27	13	13	6	0
K0859	9	3	0	0	2	8	1	0	1	0	4	0	0	1	0	1	0	0	3	0
K0863	17	4	3	0	1	9	7	10	0	4	15	6	3	4	0	8	5	3	5	0
K0864	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	2	0
L0112	0	0	7	4	3	0	0	6	2	2	0	4	1	4	0	0	2	2	4	0
L0130	0	0	39	32	29	0	0	46	30	17	0	50	29	43	0	0	31	35	36	0
L0160	0	0	80	99	85	0	0	105	103	77	0	116	130	109	0	0	90	94	103	0
L0190	0	0	48	20	19	0	0	60	30	26	0	48	40	35	0	0	41	29	31	0
L0210	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0
L0454	0	0	97	58	67	0	0	99	69	56	0	110	85	70	0	0	117	71	93	0
L0480	0	0	36	21	20	0	0	35	38	16	0	52	32	20	0	0	32	30	37	0
L0490	0	0	13	3	3	0	0	3	5	3	0	2	5	5	0	0	3	10	4	0
L0622	0	0	10	16	16	0	0	24	15	19	0	27	13	23	0	0	14	16	30	0
L0633	0	0	195	147	101	0	0	223	141	134	0	265	224	136	0	0	276	186	158	0
L0638	0	0	83	109	92	0	0	113	112	96	0	115	103	164	0	0	100	102	101	0
L0643	0	0	46	94	127	0	0	121	152	140	0	0	120	175	0	0	0	140	185	0
L0651	0	0	47	10	42	0	0	58	14	29	0	0	28	33	0	0	0	39	59	0
L0810	0	0	5	2	3	0	0	7	1	3	0	4	3	2	0	0	7	3	7	0
L0859	0	0	48	43	0	0	0	77	52	2	0	57	43	58	0	0	46	54	3	0
L0861	0	0	3	0	3	0	0	5	1	1	0	5	10	2	0	0	4	0	3	0
L0974	0	0	21	15	17	0	0	9	9	9	0	16	13	24	0	0	16	10	22	0
L0982	0	0	9	2	13	0	0	17	20	11	0	7	18	20	0	0	4	6	11	0
L1000	0	0	1	4	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0
L1010	0	0	16	12	8	0	0	16	11	6	0	23	13	7	0	0	13	13	12	0
L1020	0	0	17	22	16	0	0	18	19	10	0	28	19	16	0	0	15	21	21	0
L1030	0	0	11	4	3	0	0	8	4	2	0	8	3	4	0	0	5	4	5	0
L1040	0	0	14	5	8	0	0	19	11	7	0	14	12	17	0	0	11	16	9	0
L1060	0	0	6	4	5	0	0	4	4	7	0	6	6	9	0	0	4	6	9	0
L1110	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
L1200	0	0	6	14	8	0	0	15	8	6	0	7	12	13	0	0	20	9	12	0
L1220	0	0	225	142	148	0	0	206	184	106	0	230	176	166	0	0	224	186	182	0
L1240	0	0	30	28	22	0	0	45	24	21	0	40	48	39	0	0	45	42	28	0
L1250	0	0	20	19	19	0	0	17	20	7	0	35	17	14	0	0	19	29	29	0
L1260	0	0	9	11	10	0	0	11	6	9	0	2	6	16	0	0	8	14	11	0
L1270	0	0	31	36	29	0	0	34	41	16	0	35	29	30	0	0	30	45	38	0
L1290	0	0	23	22	23	0	0	28	21	14	0	30	18	23	0	0	27	28	24	0
L1300	0	0	19	18	18	0	0	27	25	25	0	19	14	26	0	0	21	30	34	0
L1620	0	0	0	0	2	0	0	5	2	0	0	3	2	1	0	0	2	1	2	0
L1630	0	0	1	0	0	0	0	1	0	1	0	3	0	2	0	0	1	0	1	0
L1640	0	0	7	1	1	0	0	2	1	2	0	5	3	3	0	0	0	1	1	0
L1660	0	0	4	2	1	0	0	2	2	1	0	5	1	2	0	0	1	3	1	0
L1680	0	0	12	5	6	0	0	18	10	6	0	13	8	10	0	0	16	11	7	0
L1815	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
L1840	0	0	9	7	10	0	0	16	16	6	0	6	8	14	0	0	10	13	10	0
L1847	0	0	13	5	2	0	0	15	12	10	0	27	13	10	0	0	15	13	7	0
L1848	0	0	6	8	1	0	0	21	4	3	0	0	3	9	0	0	0	5	9	0
L1860	0	0	1	1	0	0	0	2	3	0	0	1	4	3	0	0	3	2	1	0
L1900	0	0	41	30	34	0	0	34	35	22	0	36	33	36	0	0	21	42	45	0
L2030	0	0	17	13	16	0	0	22	17	18	0	25	13	24	0	0	22	25	23	0
L2034	0	0	11	8	8	0	0	15	13	7	0	13	10	9	0	0	14	8	17	0
L2035	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
L2038	0	0	10	6	4	0	0	11	5	5	0	13	6	7	0	0	8	5	9	0
