Var1	Freq
04000021177	0
04000021198	0
04000021305	0
04000021369	0
04000021370	0
04000021470	0
04000021533MO	0
04000021663	0
040000226	0
04000022924	0
0400002368	0
040000239415	0
04000024080	0
04000024112	0
04000024115	0
04000024135	0
0400002470	0
04000025094	0
04000025111	0
04000025112	0
04000025131	0
04000025140	0
04000025142	0
04000025148	0
04000025152	0
04000025677	0
04000025875	0
04000026110	0
04000026378	0
04000026605	0
04000027060	0
04000027065	0
04000027322	0
04000028035	0
04000028095	0
040000281665	0
04000028550	0
04000028627	0
04000028802	0
040000288717	0
0400002F	0
0400002H	0
0400003	0
04000030008	0
04000030119	0
04000030300	0
04000030322	0
04000030326	0
04000030Z	0
04000031172	0
04000031637	0
04000031818	0
04000031832	0
04000031876	0
040000318803	0
04000031894	0
04000032056	0
04000032064	0
04000032165	0
04000032175	0
04000032176	0
04000032177	0
04000032206	0
04000032280	2
04000032350	0
04000032390	2
04000032399	0
04000032435	0
04000032508	0
04000032702	0
04000032729	0
040000328	0
04000032944	0
04000032977	0
04000033055	0
04000033061	0
04000033062	0
04000033535	0
04000033561	0
04000033737	0
04000034083	0
04000034248	0
04000034676	0
04000034717	0
04000034828	0
04000035185	0
04000035312	0
04000035339	0
04000035355	0
04000035550	0
04000035555	0
04000035569	0
04000035578	0
04000035582	0
04000035592	0
04000035593	0
04000035594	0
040000355980001	0
04000035626	0
04000035628	0
04000035648	0
04000035657	0
04000035676	0
04000035716	0
04000035727	0
04000035730	0
04000035733	0
04000035741	0
04000035747	0
04000035752-0001	0
04000035753	0
04000035768	0
04000035771	0
04000035775	0
04000035784	0
04000035791	0
04000035803	0
04000035821	0
04000035827	0
04000035831	0
04000035834	0
04000035838	0
04000035841	0
04000036000	0
0400003640	0
04000036646	0
04000036647	0
04000036648	0
04000036649	0
04000036650	0
04000036651	0
04000036652	0
04000036653	0
04000036654	0
04000036655	0
04000036656	0
04000036658	0
04000036659	0
04000036660	0
04000036661	0
04000036662	0
04000036663	0
04000036664	0
04000036665	0
04000036666	0
04000036667	0
04000036668	0
04000036669	0
04000036670	0
04000036671	0
04000036673	0
04000036674	0
04000036675	0
04000036676	0
04000036677	0
04000036678	0
04000036679	0
04000036680	0
04000036681	0
04000036682	0
04000036683	0
04000036684	0
04000036685	0
04000036686	0
04000036688	0
04000036689	0
04000036690	0
04000036691	0
04000036692	0
04000036693	0
04000036694	0
04000036695	0
04000036696	0
04000036697	0
04000036698	0
04000036699	0
04000036701	0
04000036702	0
04000036705	0
04000036706	0
04000036708	0
04000036709	0
04000036710	0
04000036711	0
04000036712	0
04000036713	0
04000036714	0
04000036715	0
04000036717	0
04000036826	0
04000037033	0
04000037070	0
04000037499	0
04000037B36	0
04000038135	0
04000038200	0
04000038457	0
04000038572	0
04000038657HEP	0
04000039001	0
04000039045	0
04000039065	0
04000039075	0
04000039110	0
04000039115	0
04000039330	0
04000039380	2
040000395716	0
04000039993	0
0400003T	0
0400003X	2
04000040034	0
04000040048	0
04000040052	0
04000040053	0
04000040056	0
04000040075	0
04000040092	0
04000040115	0
04000040135	0
04000040230	0
040000405555	0
04000040933	0
04000041005POT	0
0400004110	0
04000043023	0
04000043050	0
04000043090	0
04000043120	0
04000043391	0
04000044000	0
04000044035	0
04000044045	0
04000044245	0
04000044298	0
04000044332	0
04000044335	0
04000044343	0
04000044374	0
04000044515	0
04000044528	0
04000044530	0
04000044580	0
04000044674	0
04000044820	0
04000044830	0
04000044835	0
04000044874	0
04000045004	0
04000045009	0
04000045010	0
04000045033	0
04000045034	0
04000045037	0
04000045044	0
04000045047	0
04000045051	0
04000045060	0
04000045065	0
04000045076	0
04000045080	0
04000045119	0
04000045125	0
04000045126	0
04000045158	0
04000045225	0
04000045393	0
04000045415	0
04000045485	0
04000045505	0
04000045597	0
04000046037	0
04000046040	0
04000046365	0
04000046369	0
04000046455	0
04000046475	0
04000046493	0
04000047016	0
04000047020	0
04000047021	0
04000047048	0
04000047056	0
04000047060	0
04000047062	0
04000047064	0
04000047071	0
04000047137	0
04000047153	0
04000047260	0
04000047318	0
04000047440	0
04000047450	0
04000047540	0
04000047555	0
04000047680	2
04000047695	0
04000047700	0
04000047940	0
040000479733	0
04000048011	0
04000049003	0
04000049025	0
0400004R	0
0400004Z	0
04000050005	0
04000050011	0
04000050017	0
04000050037	0
04000050038	0
04000050046	0
04000050049	0
04000050053	0
04000050071	0
04000050077	0
04000050096	0
04000050097	6
04000050100	0
04000050101	0
04000050115	0
04000050147	0
04000050150	0
04000050155	2
04000050166	0
04000050190	0
04000050238	0
04000050244	0
04000050766	0
040000511B	0
04000051497	0
04000051734	0
04000051892	0
04000051901	0
04000052310	0
04000052430	0
04000052480	0
04000052490	0
0400005257690002	0
04000052595	0
040000526369	0
040000527175	0
040000527950	0
04000054050	0
04000054163	0
04000054205	0
04000054358	0
04000054365	0
04000055014	0
04000055025	0
04000055040	0
04000055045	0
04000055069	0
04000055070	0
04000055072	0
04000055084	0
04000055097	0
04000055098	0
04000055113	0
04000055124	0
04000055141	0
04000055144	0
04000055193	0
04000055196	0
04000055207	0
04000055216	0
04000055265	0
04000055266	0
04000055285	0
04000055298	0
04000055299	0
04000055301	0
04000055308	0
04000055315	0
04000055316	0
04000055320	0
04000055335	0
